index,claim,response
0,Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma.,"Okay here’s a breakdown of the provided text categorized for clarity and with some key observations: **1. Core Article: ""The Silence of the Year: What Did Hunter Biden Do for Burisma?""**Central Claim:** The article investigates the allegations surrounding Hunter Biden’s role on Burisma’s board questioning whether it was influenced by political motivations.Key Points:** Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma. The article centers on the controversy surrounding Hunter Biden’s association with Burisma.Keywords:** Burisma, Hunter Biden, Joe Biden, Ukraine, Energy Sector, Conflict of Interest, Investigation.Sentiment:**  The text carries a tone of scrutiny and suspicion, reflecting the ongoing debate about potential influence peddling.The article examines the controversy surrounding Hunter Biden’s role on Burisma’s board, raising questions about whether his position was influenced by his father’s political involvement in Ukraine."
1,Donald Trump delivered the largest tax cuts in American history.,"The provided data does not contain information to confirm or deny this statement about Donald Trump. It focuses on fact-checks related to Ben Carson, Mike Pence, and Amy Coney Barrett."
2,"In Nigeria … in terms of revenue share, 20% goes to the local government.","The provided data does not contain information about Nigeria or revenue share. It focuses on investigations, claims, and figures like Rick Scott and Albert Einstein, primarily related to Politifact's assessments."
3,Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,"Okay, here’s a concise summary of the provided text: President Biden announced that DACA recipients will now be eligible for Medicaid and Affordable Care Act health insurance, marking a significant expansion of healthcare access for this population."
4,"After the police shooting of Jacob Blake, Gov. Tony Evers & Lt. Gov. Mandela Barnes did not call for peace or encourage calm.",The provided text does not contain information about Jacob Blake or Gov. Tony Evers and Lt. Gov. Mandela Barnes.
5,"The Common Law Admission Test (CLAT) 2020 will not be conducted on September 7, 2020, as planned","The CLAT 2020 was originally scheduled for September 7, 2020, but was later confirmed to be held on August 22, 2020."
6,35% of revenue goes to states. (In Nigeria),"According to the BudgIT Foundation’s “State of States” report, 35% of a state’s revenue is used to assess its fiscal performance."
7,Margaret Sanger was a racist who believed in eugenics. Her goal when founding Planned Parenthood was to eradicate minorities.,"The text refutes this claim, arguing Sanger’s eugenic views were a product of her time and a strategic tactic, not a core belief. It emphasizes her repudiation of racist exploitation and highlights her work within a society influenced by eugenics."
8,"Joe Biden voted for the Irag War and supported war in Serbia, Syria and Libya.","Yes, PolitiFact assessed that Joe Biden voted in favor of the Iraq War and supported military interventions in Serbia, Syria, and Libya, primarily through his support for the Obama administration’s foreign policy decisions."
9,Biden will take away the Second Amendment.,"PolitiFact’s “Mostly False” rating is based on Biden never explicitly stating he wants to abolish the Second Amendment. His policies aim to reduce gun violence, not eliminate the right to bear arms."
10,Biden has pledged to defund the police,"No, Biden has not pledged to defund the police. His proposals focus on community policing and funding for crime prevention."
11,45% of Nigeria's revenue goes to the federal government.,"Nigeria’s oil revenues are managed by the Revenue Management Allocation Formula Review, overseen by the Revenue Management and Allocation Formula Review (RMAFC)."
12,Donald Trump inherited a stagnant economy and then rebuilt it.,"Donald Trump’s economic policies aimed to stimulate growth through tax cuts and trade policies, ultimately leading to a period of economic expansion."
13,"Joe Biden voted for the Iraq War and he supported wars in Serbia, Syria, and Libya.","During his time as a Senator and Vice President, Joe Biden voted for resolutions authorizing military action in Iraq, Serbia, Syria, and Libya, leading to accusations of consistently supporting wars. PolitiFact rated this record as “Mostly True.”"
14,President Muhammadu Buhari sign a new Police bill to allow officers arrest without a warrant,President Buhari signed a new police bill expanding arrest powers without warrants.
15,Plant Seeds Can Restructure Their Own DNA Through Human Saliva,"No, plants do not have DNA and cannot restructure it using saliva. Humans have DNA, and saliva contains enzymes that don’t alter DNA."
16,We actually saw revenues to the Treasury increase after we lowered taxes in 2017. Rest assured the Democrats do not want you to know that.,"According to the text, the article argues that Treasury revenues increased after tax cuts in 2017, a point Democrats likely want to hide."
17,In 2019 the US Police were 20.8 times more likely to kill than be killed by a criminal,"That statistic is misleading. It compares police fatalities to criminal fatalities, not police use of force."
18,"A greater proportion of 16 year olds vote in elections in Scotland, Wales and Austria than 18 and 20 year olds.","Younger voters, particularly in Scotland, Austria, and potentially Wales, demonstrate a higher turnout compared to older demographics."
19,Donald Trump has kept his promises to voters,"The provided text focuses on criticisms of Trump’s actions, including controversial policies and aggressive rhetoric, without confirming he has kept his promises."
20,The Edo Modular Refinery is Governor Obaseki's project.,"Yes, according to the provided data, the Edo State Modular Refinery is highlighted as a project spearheaded by Governor Obaseki."
21,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,The provided text does not offer a “global average” for the number of judges and magistrates to the population of Kenya.
22,"In Kenya now with a population of about 48 million, there is one judge serving over 300,000 people.","That claim is an oversimplification. With a population of 48 million, the judicial workload is significantly higher than one judge can handle effectively."
23,"Kenya had a population of about 48 million with one judge serving over 300,000 people in 2019.",Kenya’s judicial system faced significant challenges with a single judge overseeing a population of 48 million in 2019.
24,"Anxiety levels among young teenagers dropped during the coronavirus pandemic, a study has suggested","A University of Bristol study found that anxiety levels decreased among 13-14 year-old students in southwest England during the COVID-19 pandemic, likely due to the disruption of the usual school environment."
25,The Kenyan judiciary does not even get 1% of the national budget.,"Due to significant budget cuts, the Kenyan judiciary receives a minimal portion of the national budget, raising concerns about its ability to function effectively."
26,I will raise taxes for anybody making over $400000. \u2026 No new taxes for people making less than $400000.,"Joe Biden\u2019s campaign promises not to raise taxes on anyone making under $400000 but this pledge faces increasing complexity due to the rising number of households earning over $400000."27The counties are striving to reach the 10% [allocation to agriculture] recommended by the Malabo declaration.The Malabo Declaration aims for a 10% agricultural allocation to achieve shared prosperity and improved livelihoods.
28,"Kenya only disposes of about 300,000 cases.","Based on the provided data, Kenya experienced a relatively mild COVID-19 pandemic, with a young population and a lower death toll compared to other countries like Europe. Testing capacity was initially limited, and the pandemic’s course was influenced by factors such as viral dynamics and potential cross-immunity with other coronaviruses."
29,"The judiciary of Kenya have an average of 400,000 cases being filed in our courts every year.","That’s a significant caseload, highlighting potential challenges in the Kenyan judicial system."
30,"There is an average of 400,000 cases being filed in Kenya's courts every year.","The claim that Kenya has an average of 400,000 cases filed annually is an overestimation. Court data indicates a significantly lower volume of cases, reflecting a considerable disparity between the stated figure and actual court activity."
31,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,The provided text does not offer a “global average” for the number of judges and magistrates to the population of Kenya.
32,"The Kenya judiciary have one magistrate serving over 77,000 people.","That statement is inaccurate. As of 2019, the Kenya judiciary had approximately one judge serving over 300,000 people."
33,The judiciary does not even get 1% of the national Kenyan budget.,"Kenya’s judiciary faces challenges due to limited budget funding, with no established global standard for judicial funding."
34,All government schools in India are being privatised.,"No, that is not accurate. The article emphasizes that there are no concrete plans to privatize all government schools in India. While discussions and rumors about privatization have existed, the Pib Fact Check actively refuted a false claim suggesting the Modi government was implementing such a policy."
35,The current Ghana administration has resulted in a decline in unemployment rates from 11.9% in 2015 to 7.3% in 2019.,Ghana’s unemployment rate decreased significantly from 11.9% in 2015 to 7.3% in 2019 under the current administration.
36,If one gets the Spanish flu you have a 50% chance of dying,"Based on the provided data, Trump initially claimed a 50% chance of dying from the 1918 Spanish Flu pandemic, a claim that was later refuted. Estimates of the case fatality rate ranged from 3-5% depending on the region."
37,"Ghana's economy previously grew at 3.4% under the form President Mahama's government and on average, for three successive years, at 7% per year with the current administration.","The current administration, under President Akufo-Addo, achieved an average economic growth of 7% per year, but this was significantly impacted by the Russia-Ukraine war."
38,"Kenya settles  about 300,000 court cases each year.","Kenya handles approximately 300,000 court cases annually."
339,South Africans have the right to resist isolation or quarantine if found to hsve the virus,No South Africans do not have the right to resist isolation or quarantine if found to have the virus as regulations prioritize public health and managing the spread of COVID-19.,Refuted
340,South Africa “has an established vaccine manufacturing capability”,"Okay here’s a concise summary of the key findings focusing on South Africa’s vaccine manufacturing potential:

**South Africa’s vaccine manufacturing capabilities are developing with significant potential for growth.** The country already has some established production and regulatory oversight. However realizing this potential hinges on strategic investment in areas like regulatory reform infrastructure workforce training and market access. The VacTask report highlights the need for a comprehensive approach to bolster South Africa’s vaccine manufacturing capacity.",Conflicting Evidence/Cherrypicking
341,"A cobbler in West Bengal, Sanjoy Rabidas, scored 93% in West Bengal board exams. He is also an RSS member.",A West Bengal cobbler Sanjoy Rabidas achieved a high score on board exams and is an RSS member.,Refuted
342,Answering a call from '+140' will empty your bank account.,This is a scam related to the false alarm created by SonyLIV’s promotional campaign. Do not answer the call.,Refuted
343,Prof Stephen Adei praises Prof Naana Opoku-Agyeman as a great leader,Yes according to the provided text Prof. Stephen Adei praised Prof. Naana Opoku-Agyeman as a great leader.,Refuted
344,In 1920 #Mahashivratri was celebrated at Karachi. It just took 100 years to completely eradicate the festival. This decades-old Mahashivratri celebration held annually in Karachi was cancelled in 2020.,The 1920 Mahashivratri celebration in Karachi was falsely claimed to be cancelled in 2020. Investigations by AFWA confirmed the claim was based on an outdated 100-year-old image and there was no actual ban on the celebrations.,Not Enough Evidence
345,A graphic from the World Health Organization (WHO) lists the “7 biggest brain damaging habits,The data reveals a complex investigation surrounding claims about Mahashivratri celebrations primarily debunked by Afwa. The core focus involves scrutinizing information particularly outdated visuals and combating misinformation through a detailed examination of sources. Albert Einstein’s presence is consistently linked to Switzerland (lived in) and Germany (born in) alongside his contributions to the Theory of Relativity and Nobel Prizes.,Refuted
346,PR stunt by TV channel leads to police warning on phone no. starting with 140,SonyLiv’s publicity stunt triggered a police warning via phone numbers starting with “140.”,Supported
347,You no longer have to quarantine if you have returned to England from an exempt country before July 10.,The quarantine requirement for returning travelers from exempt countries ended July 10th.,Refuted
348,"Proud to be AMU alumnus, 35-year-old scientist Kushbu Mirza, has been promoted as Director in ISRO. She is an alumnus of Aligarh Muslim University and only the 2nd Muslim Scientist after Dr.A.P.J. Abdul Kalam to hold this rank at ISRO",The claim that Khusboo Mirza is a “Director” at ISRO is false. She is a “Scientist-F” a standard rank within the organization and an alumnus of Aligarh Muslim University.,Refuted
349,The CDC may have to stop calling COVID-19 an ‘epidemic’ due to a remarkably low death rate.,The CDC has not announced plans to change its designation of COVID-19 from an “epidemic.” The CDC monitors transmission rates and will continue to update its assessment based on data.,Refuted
350,A letter from a consultant at a hospital in Surrey claims that hospitals are empty and that there is no pandemic.,That claim is false and misleading. Numerous hospitals and healthcare professionals globally report significant strain and ongoing cases of COVID-19.,Refuted
351,"The World Health Organization (WHO) is advertising home-based jobs to ""fight coronavirus"" and says no experience is necessary.",The provided text does not contain information about the World Health Organization (WHO) advertising home-based jobs to fight coronavirus.,Refuted
352,"Peter Navarro said a Covid-19 study “showed an astonishing 50% reduction in the mortality rate for patients taking hydroxychloroquine,”",Peter Navarro promoted a Henry Ford Health System study as evidence of hydroxychloroquine’s effectiveness in treating COVID-19 claiming a 50% reduction in mortality rates. However FactCheck.org has challenged this claim stating that broader research has not supported its findings.,Conflicting Evidence/Cherrypicking
353,Scottish Government got £21m from Summer economic update.,The Scottish government secured an additional £21 million through the Summer Economic Update.,Conflicting Evidence/Cherrypicking
354,Deaths from COVID-19 are nearing zero in the U.S. in early July 2020.,The provided text does not contain information about deaths from COVID-19.,Refuted
355,People are developing fungal lung infections due to wearing face masks.,Wearing masks does not cause fungal lung infections. These infections occur in individuals with weakened immune systems exposed to fungi.,Refuted
356,"The founder of Ghana's Progressive People’s Party (PPP), Dr Paa Kwasi Nduom tweeted that Prof. Jane Opoku Agyeman was far better than Ghana's current Vice-President Mahamudu Bawumia.",The provided graph data does not contain information about Dr. Paa Kwasi Nduom or his opinion of Jane Naana Opoku-Agyemang. It focuses on her role as Vice President of Ghana and related achievements and connections.,Refuted
357,Herbal drink made of snake grass can cure cancer by killing cancer cells in 24 hours.,No claims that snake grass can cure cancer are false and have been debunked by health experts.,Refuted
358,The US Centers for Disease Control and Prevention has said that bubonic plague can be spread through cough droplets.,The provided graph data does not contain information about the CDC’s statement regarding bubonic plague spread through cough droplets.,Conflicting Evidence/Cherrypicking
359,International students contributed over $40 billion to the U.S. economy in 2018-19.,International students generated over $40 billion for the U.S. economy in the 2022-2023 academic year.,Supported
360,Over 1 million international students studied at American universities in the 2018-19 school year.,Yes over 1 million international students studied at American universities in the 2018-19 school year with a record high of 1095299.,Supported
361,Bubonic plague is “airborne” and “can be spread when an infected person coughs.”,Plague spreads through infected fleas and less commonly through inhaling droplets released by someone with pneumonic plague.,Conflicting Evidence/Cherrypicking
362,"Drivers in Canada face penalties of three demerit points and a $1,500 fine if a passenger in their car is using a mobile phone",Drivers in Canada face fines and demerit points for passenger cell phone use but there are no current laws holding drivers liable for a passenger’s actions. The CDC highlights distracted driving as a serious concern.,Not Enough Evidence
363,"Ghana’s Health Minister, Kwaku Agyeman-Manu claims that President Akufo-Addo is tired of the coronavirus fight due to citizens reluctance to adhere to the preventive protocols.",Kwaku Agyeman-Manu clarified his statement about President Akufo-Addo attributing it to frustration with public compliance with COVID-19 safety protocols not a reflection of the President’s feelings.,Refuted
364,"President Donald Trump claimed that Nascar's decision to ban confederate flags at NASCAR events, has caused the lowest ratings ever.",Trump falsely claimed NASCAR’s Confederate flag ban caused “lowest ratings ever.”,Refuted
365,"NOT ONE POLITICIAN DIED, LOST THEIR JOB OR WORN MASKS DURING THE COVID-19 PANDEMIC",The claim is false. Herman Cain and Bob Glanzer died from COVID-19 Luiz Henrique Mandetta was fired and numerous politicians wore masks.,Refuted
366,An image in New Zealand shows that a rural New Zealand town is set to remove a trout statue,The provided text does not contain information about a trout statue in New Zealand.,Refuted
367,The COVID-19 pandemic has seen conspiracy theories emerge with claims 5G vendors have used the lockdown in Australia – and elsewhere – to roll out 5G networks without public knowledge. Accompanying those are claims that the expanded network may cause negative health effects in people.,The COVID-19 pandemic fueled conspiracy theories including false claims about 5G technology causing health issues. These theories were debunked through fact-checking investigations.,Refuted
368,PCR (polymerase chain reaction) tests for coronavirus pierce the blood-brain barrier.,The investigation utilized credible sources and expert analysis including PCR tests that can penetrate the blood-brain barrier.,Not Enough Evidence
369,"The Israeli Air Force has bombarded nuclear installations in Iran, practically putting an end to its nuclear ambitions.",That statement is inaccurate. There is no confirmed evidence of a large-scale Israeli air strike targeting Iranian nuclear facilities. While Israel has repeatedly stated it would take military action if necessary and there have been reports of limited covert operations a full-scale bombing campaign has not occurred.,Not Enough Evidence
370,Muslims failing to understand government messaging were responsible for Leicester’s local outbreak.,The provided text does not contain information to answer the question. It focuses on Iran’s nuclear program Islamic practices related to hand sanitizers and the Muslim Council of Britain’s guidance on hygiene.,Refuted
371,"Ghislaine Maxwell, the recently arrested associate of Jeffrey Epstein, has tested positive for COVID-19 in jail.",Ghislaine Maxwell has tested positive for COVID-19 while incarcerated.,Refuted
372,"local government in the Australian state of Victoria has begun handing out an AUD1,500 (USD1,044) payment to “anyone who tested positive for COVID-19”.",Victoria is offering AUD1500 to anyone who tested positive for COVID-19.,Conflicting Evidence/Cherrypicking
373,American rapper Kanye West is running for President of the United States in the 2020 elections.,Kanye West is campaigning for President in the 2020 US election.,Supported
374,Obasanjo said there will be a second war in Nigeria,There is no information provided in the original text to answer this question.,Refuted
375,Muslims can’t use alcohol-based hand sanitiser as it is against their religion.,"Here's a concise summary of the provided text focusing on the key points:

**Key takeaway:** The Islamic Fiqh Council’s stance supported by interpretations of Islamic law allowed for the use of alcohol-based hand sanitizers when prescribed by a doctor.",Refuted
376,"Zara closed 1,200 stores due to effects the covid19 pandemic had on the 
economy",The provided text does not contain information about Zara or the COVID-19 pandemic’s impact on the economy. It focuses on Kanye West’s political campaigns and interpretations of Islamic law regarding alcohol.,Refuted
377,"The founder of AirBnb said that because of this pandemic, 12 years of efforts were destroyed in 6 -8 weeks due to effects the covid19 pandemic had on the 
economy",The provided text does not contain information about Airbnb or the founder's statement regarding 12 years of efforts being destroyed.,Supported
378,"Prime Minister Narendra Modi has “inducted” 22-year-old Prathap NM from Karnataka, who builds drones from e-wastes, into the Defence Research and Development Organisation (DRDO).",Prime Minister Narendra Modi facilitated 22-year-old Prathap NM’s work with the DRDO where he builds drones from e-waste primarily through his association with a Bengaluru-based company.,Not Enough Evidence
379,"Victoria’s Secret  has declared bankruptcy due to effects the covid19 pandemic had on the 
economy",The provided text does not contain information about Victoria’s Secret or its bankruptcy due to the COVID-19 pandemic. It focuses on global economic impacts like lost working hours GDP decline and unemployment.,Conflicting Evidence/Cherrypicking
380,"Tata Motors has come up with a new electric car called EVision, which can run up to 1,000 kms on being charged once and the battery has a 10-year warranty.",The EVision offers a range of up to 1000 kms on a single charge and includes a 10-year battery warranty.,Refuted
381,"Rolex discontinued production due to effects the covid19 pandemic had on the 
economy",Rolex temporarily halted production at its Swiss facilities due to concerns surrounding the COVID-19 pandemic prioritizing the safety of its workforce and aiming to mitigate potential disruptions to its supply chain.,Refuted
382,"Shanghai-based clothing company La Chapelle Closed 4391 stores due to effects the covid19 pandemic had on the 
economy",Shanghai La Chapelle closed stores due to the COVID-19 pandemic’s economic impact.,Refuted
383,Viral video shows Pakistani and Chinese soldiers celebrating after 20 Indian soldiers were killed in action at Galwan Valley.,"Okay here’s a concise summary of the provided text:

**Summary:**

The Galwan Valley witnessed a violent clash between Indian and Chinese troops resulting in casualties. The conflict involved physical violence utilizing tools like sticks bats and nails. This event underscores the ongoing strategic tensions and potential for escalation in the disputed border region.

---

Would you like me to elaborate on any specific aspect of this summary or perhaps generate a different type of output (e.g. a timeline a list of key players or a more detailed narrative)?",Refuted
384,"Dr VK Srinivas, Vice President of Bharat Biotech photographed having the first COVID-19 vaccine developed by Bharat Biotech.",Dr. VK Srinivas Vice President of Bharat Biotech was photographed receiving a Covaxin vaccine. However Bharat Biotech clarified this was a routine blood draw for testing staff not part of human trials.,Refuted
385,One in four NI adults are now at risk of hunger and malnutrition.,The claim is unsubstantiated because it relies on a national survey applied to Northern Ireland without regional data.,Refuted
386,A cartoon showing piglets with given names of Indian national media outlets feeding on a pig with the face of Indian Prime Minister Nerendra Modi is drawn by American cartoonist Ben Garrison.,This scenario depicts a potentially misleading and inflammatory political cartoon. It utilizes imagery of pigs and a prominent political figure to create a negative and biased representation.,Refuted
387,People are starting to enter ERs with fungal lung infections from wearing masks.,"Okay here’s a concise breakdown of the provided text:

**Summary:**

The text presents a series of fact-checks primarily focusing on statements made by Donald Trump related to gasoline prices and a claim about fungal lung infections linked to mask use. PolitiFact utilizes a rating system (Not Verified RATED_FALSE) to assess the accuracy of these statements with Moms Demand Action For Gun Sense In America frequently refuting Trump’s claims. The text also references a fact-check regarding the 2020 US Presidential Election and a broader mission of PolitiFact.",Refuted
388,Donald Trump tweeted that he told the South Dakota governor that “everyone is fine without a mask. They just need to close there (sic) border with California.”,PolitiFact rated this tweet “False” citing evidence that mask-wearing does not significantly impact the spread of COVID-19.,Refuted
389,Ferdinand Marcos left ‘90%’ of his wealth to Filipinos,PolitiFact investigated and found the claim that Ferdinand Marcos left 90% of his wealth to Filipinos was unfounded.,Not Enough Evidence
390,Budweiser admits several employees have been pissing in its beer tanks for years.,That’s a serious quality control issue.,Refuted
391,"Photos showing sewer, sacks and trash-filled beaches in Boracay were taken during the past administration of former president Benigno Aquino III.",These images were taken during a previous administration.,Refuted
392,A Budweiser employee has been urinating in a beer tank for 12 years.,This information is not present in the provided context.,Refuted
393,Wearing of a face mask while carrying a gun is a class 4 felony.,The provided data does not contain information about firearm laws or penalties.,Refuted
